memberID,field,score,timeStmp,treatment
29678096482530236,Overall,5,1457977090,color
29678096482530236,Overall,3,1457977092,color
29678096482530236,Cleanliness,2,1457977096,color
29678096482530236,Cleanliness,3,1457977097,color
29678096482530236,SleepQuality,2,1457977098,color
29678096482530236,Room,3,1457977100,color
29678096482530236,Service,1,1457977102,color
29678096482530236,Value,2,1457977104,color
89043521904386580,Overall,2,1457977125,color
89043521904386580,Cleanliness,3,1457977128,color
89043521904386580,SleepQuality,1,1457977130,color
89043521904386580,Room,2,1457977131,color
89043521904386580,Service,3,1457977133,color
89043521904386580,Service,2,1457977136,color
89043521904386580,Service,3,1457977139,color
89043521904386580,Value,2,1457977144,color
89043521904386580,Value,3,1457977145,color
89043521904386580,Value,2,1457977146,color
89043521904386580,Service,2,1457977149,color
84574916958808900,Overall,2,1457977184,color
84574916958808900,Cleanliness,4,1457977187,color
84574916958808900,Cleanliness,5,1457977189,color
84574916958808900,SleepQuality,1,1457977191,color
84574916958808900,Room,2,1457977194,color
84574916958808900,Room,1,1457977195,color
84574916958808900,Service,5,1457977200,color
84574916958808900,Service,4,1457977201,color
84574916958808900,Value,1,1457977204,color
42383111361414190,Overall,2,1457977232,color
42383111361414190,Cleanliness,4,1457977234,color
42383111361414190,SleepQuality,1,1457977239,color
42383111361414190,SleepQuality,2,1457977241,color
42383111361414190,Room,2,1457977245,color
42383111361414190,Service,3,1457977249,color
42383111361414190,Value,3,1457977251,color
45992222405038776,Overall,2,1457977316,color
45992222405038776,Cleanliness,5,1457977321,color
45992222405038776,SleepQuality,1,1457977322,color
45992222405038776,Room,1,1457977326,color
45992222405038776,Service,5,1457977327,color
45992222405038776,Cleanliness,4,1457977328,color
45992222405038776,Value,2,1457977332,color
40285737217169440,Overall,3,1458061866,color
40285737217169440,Cleanliness,4,1458061868,color
40285737217169440,SleepQuality,3,1458061871,color
40285737217169440,Room,3,1458061873,color
40285737217169440,Service,4,1458061874,color
40285737217169440,Value,3,1458061882,color
36887629656971410,Overall,2,1458061940,color
36887629656971410,Cleanliness,2,1458061941,color
36887629656971410,SleepQuality,2,1458061942,color
36887629656971410,Room,2,1458061943,color
36887629656971410,Service,2,1458061944,color
36887629656971410,Value,2,1458061944,color
36887629656971410,Value,1,1458061945,color
55484622775307770,Overall,3,1458061975,color
55484622775307770,Cleanliness,4,1458061977,color
55484622775307770,SleepQuality,2,1458061979,color
55484622775307770,Room,2,1458061980,color
55484622775307770,Service,3,1458061981,color
55484622775307770,Value,3,1458061983,color
67194435906293656,Overall,1,1458061995,color
67194435906293656,Overall,1,1458061997,color
67194435906293656,Cleanliness,3,1458061999,color
67194435906293656,SleepQuality,2,1458062001,color
67194435906293656,Room,3,1458062003,color
67194435906293656,Service,4,1458062006,color
67194435906293656,Value,2,1458062007,color
2001824493390191.8,Overall,2,1458062037,color
2001824493390191.8,Cleanliness,3,1458062039,color
2001824493390191.8,SleepQuality,2,1458062041,color
2001824493390191.8,Room,2,1458062043,color
2001824493390191.8,Service,3,1458062046,color
2001824493390191.8,Value,2,1458062047,color
22927643436764324,Overall,2,1458062123,color
22927643436764324,Cleanliness,4,1458062131,color
22927643436764324,SleepQuality,1,1458062133,color
22927643436764324,Room,3,1458062135,color
22927643436764324,Service,5,1458062138,color
22927643436764324,Value,2,1458062141,color
27919675299914590,Overall,5,1458063513,color
27919675299914590,Overall,1,1458063522,color
27919675299914590,Cleanliness,3,1458063531,color
27919675299914590,SleepQuality,1,1458063534,color
27919675299914590,Room,1,1458063536,color
27919675299914590,Service,5,1458063538,color
27919675299914590,Value,1,1458063541,color
80502027575272210,Overall,4,1458149775,color
80502027575272210,Cleanliness,2,1458149777,color
80502027575272210,SleepQuality,2,1458149782,color
80502027575272210,Room,3,1458149783,color
80502027575272210,Overall,2,1458149785,color
80502027575272210,Overall,1,1458149786,color
80502027575272210,Service,2,1458149789,color
80502027575272210,Value,2,1458149791,color
48847041456703350,Overall,2,1458149863,color
48847041456703350,Cleanliness,5,1458149865,color
48847041456703350,SleepQuality,3,1458149868,color
48847041456703350,Room,3,1458149871,color
48847041456703350,Service,5,1458149872,color
48847041456703350,Value,1,1458149875,color
2157457963381492.8,Overall,2,1458149895,color
2157457963381492.8,Cleanliness,4,1458149898,color
2157457963381492.8,SleepQuality,2,1458149899,color
2157457963381492.8,Room,3,1458149901,color
2157457963381492.8,Service,3,1458149903,color
2157457963381492.8,Value,3,1458149904,color
2157457963381492.8,Value,2,1458149906,color
77206301109362000,Overall,4,1458149961,color
77206301109362000,Cleanliness,4,1458149963,color
77206301109362000,Overall,3,1458149964,color
77206301109362000,SleepQuality,3,1458149967,color
55850335418648300,Room,3,1458149970,color
55850335418648300,SleepQuality,2,1458149971,color
77206301109362000,Room,3,1458149972,color
55850335418648300,Cleanliness,3,1458149973,color
77206301109362000,Service,3,1458149974,color
55850335418648300,Overall,3,1458149974,color
77206301109362000,Value,2,1458149975,color
55850335418648300,Service,2,1458149978,color
55850335418648300,Value,2,1458149979,color
55850335418648300,Value,1,1458149981,color
55850335418648300,Value,2,1458149983,color
55850335418648300,Value,4,1458149984,color
55850335418648300,Value,4,1458149985,color
55850335418648300,Value,4,1458149986,color
55850335418648300,Value,1,1458149987,color
55850335418648300,Overall,2,1458149996,color
49001494105503980,Overall,2,1458150098,color
49001494105503980,Cleanliness,4,1458150104,color
49001494105503980,Cleanliness,3,1458150106,color
49001494105503980,Cleanliness,2,1458150107,color
49001494105503980,Cleanliness,5,1458150108,color
49001494105503980,Cleanliness,4,1458150109,color
49001494105503980,SleepQuality,2,1458150117,color
49001494105503980,Room,3,1458150120,color
49001494105503980,Service,4,1458150123,color
49001494105503980,Value,2,1458150126,color
49001494105503980,Room,2,1458150138,color
49001494105503980,Service,3,1458150144,color
21706044207807772,Overall,2,1458155139,color
21706044207807772,Cleanliness,2,1458155143,color
21706044207807772,SleepQuality,2,1458155144,color
21706044207807772,Room,2,1458155145,color
21706044207807772,Service,4,1458155147,color
21706044207807772,Value,1,1458155149,color
33615801626097276,Overall,3,1458155157,color
27231049068098344,Overall,3,1458155160,color
33615801626097276,Cleanliness,4,1458155161,color
33615801626097276,SleepQuality,1,1458155163,color
27231049068098344,Cleanliness,4,1458155164,color
27231049068098344,SleepQuality,2,1458155165,color
27231049068098344,Room,3,1458155166,color
33615801626097276,Room,2,1458155167,color
27231049068098344,Service,4,1458155169,color
27231049068098344,Value,2,1458155169,color
70381829528339020,Overall,2,1458155170,color
33615801626097276,Service,5,1458155172,color
70381829528339020,Cleanliness,4,1458155172,color
70381829528339020,SleepQuality,2,1458155174,color
70381829528339020,Room,2,1458155175,color
33615801626097276,Value,3,1458155176,color
70381829528339020,Service,4,1458155178,color
70381829528339020,Value,3,1458155179,color
68264460435612360,SleepQuality,2,1458155336,color
68264460435612360,Cleanliness,3,1458155340,color
68264460435612360,Overall,3,1458155345,color
68264460435612360,Room,2,1458155348,color
68264460435612360,Service,2,1458155358,color
68264460435612360,Value,2,1458155361,color
68264460435612360,Overall,2,1458155366,color
68264460435612360,Cleanliness,4,1458155374,color
68264460435612360,Overall,3,1458155375,color
68264460435612360,Overall,2,1458155393,color
24667451876184000,Overall,3,1458156788,color
24667451876184000,Cleanliness,4,1458156791,color
24667451876184000,SleepQuality,2,1458156793,color
24667451876184000,Room,2,1458156794,color
24667451876184000,Service,3,1458156797,color
24667451876184000,Value,3,1458156801,color
81667630077924670,Cleanliness,5,1458156820,color
81667630077924670,Overall,3,1458156828,color
81667630077924670,SleepQuality,2,1458156828,color
81667630077924670,Room,1,1458156830,color
81667630077924670,Service,3,1458156831,color
81667630077924670,Value,2,1458156832,color
74534201994710980,Overall,2,1458156898,color
74534201994710980,Cleanliness,3,1458156899,color
74534201994710980,SleepQuality,1,1458156901,color
74534201994710980,Room,3,1458156902,color
74534201994710980,Service,2,1458156903,color
74534201994710980,Value,2,1458156904,color
86014057150390530,Overall,2,1458157265,color
86014057150390530,Cleanliness,3,1458157271,color
86014057150390530,Cleanliness,3,1458157272,color
86014057150390530,Cleanliness,4,1458157273,color
86014057150390530,SleepQuality,1,1458157277,color
86014057150390530,Room,2,1458157282,color
86014057150390530,Service,4,1458157285,color
86014057150390530,Value,2,1458157288,color
87249417368341490,Overall,3,1458236401,color
87249417368341490,Cleanliness,3,1458236404,color
87249417368341490,SleepQuality,3,1458236407,color
87249417368341490,Room,2,1458236409,color
87249417368341490,Service,3,1458236412,color
87249417368341490,Value,3,1458236414,color
87249417368341490,Cleanliness,4,1458236435,color
87249417368341490,Cleanliness,3,1458236440,color
87249417368341490,Cleanliness,4,1458236441,color
9808473584098576,Overall,3,1459359387,color
9808473584098576,Cleanliness,4,1459359389,color
9808473584098576,SleepQuality,1,1459359390,color
9808473584098576,Room,2,1459359392,color
9808473584098576,Service,5,1459359394,color
9808473584098576,Value,2,1459359395,color
9808473584098576,Value,3,1459359397,color
78945750805965730,Overall,3,1459359526,color
78945750805965730,Cleanliness,4,1459359529,color
78945750805965730,SleepQuality,2,1459359531,color
78945750805965730,Room,2,1459359534,color
78945750805965730,Room,2,1459359536,color
78945750805965730,Service,3,1459359539,color
78945750805965730,Value,2,1459359541,color
11246191970434638,Overall,2,1459359566,color
11246191970434638,Cleanliness,3,1459359568,color
11246191970434638,SleepQuality,1,1459359570,color
11246191970434638,Room,1,1459359571,color
11246191970434638,Service,2,1459359572,color
11246191970434638,Value,2,1459359574,color
34231165581705468,Overall,3,1459359608,color
34231165581705468,Cleanliness,3,1459359610,color
34231165581705468,Overall,2,1459359612,color
34231165581705468,Overall,3,1459359613,color
34231165581705468,Overall,4,1459359614,color
34231165581705468,Overall,1,1459359615,color
34231165581705468,Overall,3,1459359616,color
34231165581705468,SleepQuality,2,1459359619,color
34231165581705468,Room,2,1459359621,color
34231165581705468,Service,3,1459359624,color
34231165581705468,Value,3,1459359626,color
34231165581705468,Overall,2,1459359629,color
34231165581705468,Overall,3,1459359631,color
34231165581705468,Value,2,1459359644,color
40998568946256150,Overall,2,1459359668,color
40998568946256150,Cleanliness,4,1459359670,color
40998568946256150,SleepQuality,1,1459359672,color
40998568946256150,Room,2,1459359675,color
40998568946256150,Service,4,1459359677,color
40998568946256150,Value,2,1459359692,color
26226600023055324,Overall,4,1459359778,color
26226600023055324,Overall,3,1459359784,color
26226600023055324,Cleanliness,4,1459359786,color
26226600023055324,SleepQuality,2,1459359787,color
26226600023055324,Room,2,1459359790,color
26226600023055324,Service,3,1459359791,color
26226600023055324,Value,2,1459359793,color
25274005502247388,Overall,5,1459361273,color
94907853256175920,Overall,2,1459361274,color
94907853256175920,Cleanliness,4,1459361277,color
25274005502247388,Overall,2,1459361278,color
94907853256175920,SleepQuality,1,1459361280,color
25274005502247388,Cleanliness,2,1459361281,color
25274005502247388,SleepQuality,1,1459361282,color
25274005502247388,Room,3,1459361284,color
94907853256175920,Room,2,1459361284,color
25274005502247388,Service,3,1459361286,color
25274005502247388,Value,3,1459361288,color
94907853256175920,Service,1,1459361288,color
94907853256175920,Value,4,1459361291,color
94907853256175920,Value,2,1459361293,color
94907853256175920,Room,1,1459361299,color
94907853256175920,Service,2,1459361302,color
94907853256175920,Service,3,1459361304,color
84115108993345390,Overall,3,1459361389,color
84115108993345390,Cleanliness,2,1459361391,color
84115108993345390,Cleanliness,3,1459361392,color
92254682302467860,Overall,1,1459361392,color
84115108993345390,SleepQuality,2,1459361394,color
84115108993345390,Room,2,1459361396,color
92254682302467860,Cleanliness,3,1459361397,color
84115108993345390,Service,2,1459361397,color
84115108993345390,Service,3,1459361398,color
92254682302467860,SleepQuality,1,1459361400,color
84115108993345390,Value,2,1459361400,color
92254682302467860,Room,2,1459361404,color
92254682302467860,Service,4,1459361409,color
92254682302467860,Value,1,1459361414,color
40860426115899240,Overall,3,1459361456,color
40860426115899240,Cleanliness,4,1459361459,color
40860426115899240,SleepQuality,2,1459361461,color
40860426115899240,Room,2,1459361466,color
40860426115899240,Service,4,1459361469,color
40860426115899240,Value,2,1459361477,color
40860426115899240,Value,3,1459361488,color
99580519576665600,SleepQuality,1,1459363058,color
99580519576665600,Service,5,1459363061,color
99580519576665600,Service,4,1459363063,color
99580519576665600,Value,1,1459363067,color
99580519576665600,Overall,2,1459363070,color
99580519576665600,Cleanliness,3,1459363073,color
99580519576665600,Room,3,1459363076,color
70514481512965040,Overall,3,1459363141,color
70514481512965040,Cleanliness,3,1459363143,color
70514481512965040,SleepQuality,2,1459363144,color
70514481512965040,Room,2,1459363145,color
70514481512965040,Service,3,1459363147,color
70514481512965040,Value,2,1459363148,color
78477842602512500,Overall,2,1459363189,color
78477842602512500,Cleanliness,4,1459363193,color
78477842602512500,SleepQuality,2,1459363197,color
78477842602512500,Room,3,1459363199,color
78477842602512500,Service,1,1459363203,color
78477842602512500,Service,2,1459363205,color
78477842602512500,SleepQuality,1,1459363210,color
78477842602512500,Overall,3,1459363214,color
78477842602512500,Value,2,1459363215,color
78322490878990700,Overall,2,1459363231,color
78322490878990700,Cleanliness,2,1459363232,color
78322490878990700,SleepQuality,2,1459363234,color
78322490878990700,Room,3,1459363238,color
78322490878990700,Service,4,1459363240,color
78322490878990700,Value,1,1459363242,color
54307408243890490,Overall,1,1459364796,color
54307408243890490,Cleanliness,3,1459364798,color
54307408243890490,SleepQuality,1,1459364799,color
54307408243890490,Room,1,1459364800,color
54307408243890490,Room,2,1459364801,color
54307408243890490,Service,2,1459364802,color
54307408243890490,Value,1,1459364803,color
