memberID,Cleanliness,Overall,Room,Service,SleepQuality,Value,treatment
10182418767362834,3,1,1,1,1,1,green
10355531329162382,4,2,1,5,1,2,green
10702773053071302,3,2,2,2,2,1,grey
11246191970434638,3,2,1,2,1,2,color
11367390143424650,3,2,3,2,1,2,color
11940874299034476,2,5,NA,NA,NA,NA,red
12490565772168338,3,2,3,3,2,2,green
12934802686750890,3,1,2,3,1,1,green
12978453086049302,4,2,2,4,2,2,grey
13009787811196750,4,2,2,5,1,2,grey
13582068616625742,5,3,2,4,2,3,green
13669438240235766,3,2,3,5,2,1,grey
13737034214662524,4,2,2,5,1,2,grey
13800960157592334,5,5,5,5,5,5,color
14092912706873318,3,2,2,3,1,2,green
14138159087249912,4,2,1,4,2,2,red
14658286770643692,3,1,2,4,2,2,grey
14835555558630630,3,2,2,4,1,2,red
1649657846506746.8,4,2,2,4,1,2,red
18854685101133704,3,2,2,5,2,1,green
19691294044541240,4,3,2,4,1,2,green
2001824493390191.8,3,2,2,3,2,2,color
2015168453014348.8,4,1,2,5,1,1,grey
20599708291160310,4,3,3,3,2,2,green
20801511710120700,4,2,3,2,2,2,green
21035406626681040,4,3,2,4,1,2,red
21043115327481820,3,3,3,4,3,2,red
21246237647302868,3,3,2,5,2,3,green
2157457963381492.8,4,2,3,3,2,2,color
21706044207807772,2,2,2,4,2,1,color
22245866002690428,3,2,2,4,2,2,green
22347728395752344,3,3,1,5,2,2,red
22927643436764324,4,2,3,5,1,2,color
2338149412408463.5,4,2,2,3,1,2,color
23502946761436760,4,1,3,5,1,2,red
24112676433461268,3,2,2,4,2,2,green
24263608770248936,3,2,2,3,1,2,grey
24667451876184000,4,3,2,3,2,3,color
25045248727244010,3,2,3,4,3,2,grey
25274005502247388,2,2,3,3,1,3,color
26226600023055324,4,3,2,3,2,2,color
2665884578980337.5,3,3,2,2,1,1,green
26804173678357500,3,1,1,3,1,2,red
27231049068098344,4,3,3,4,2,2,color
27422565525708544,4,4,3,5,3,4,red
27919675299914590,3,1,1,5,1,1,color
2827721498083235.5,2,1,1,5,1,1,green
2940828697425623.5,4,3,3,5,2,3,green
29675541357862570,4,2,1,3,1,2,grey
29678096482530236,3,3,3,1,2,2,color
30080374565142210,4,3,2,3,2,1,red
30169785275804916,3,3,3,3,1,2,green
30335768456902200,4,2,2,5,1,1,red
30450215457674388,5,2,3,5,1,3,grey
30507213659222690,4,2,2,5,1,1,grey
30707157944879660,3,2,2,5,1,2,color
31020756760398060,3,2,2,4,1,1,grey
31419968852938296,3,2,2,4,2,3,color
31435886168731452,2,3,2,4,2,2,grey
31540302449200984,3,3,3,5,2,2,red
31963105232954380,4,3,2,4,2,2,red
32068040444307710,3,2,3,2,2,NA,green
32156009431391940,4,2,2,3,1,1,red
32716741272556130,1,1,1,4,1,1,red
32919760245299544,4,2,3,4,2,2,grey
33137975770100092,4,2,2,3,1,2,red
33615801626097276,4,3,2,5,1,3,color
33766042443121050,3,2,2,4,2,1,green
33821539870162696,3,2,2,4,2,3,green
33891771888594180,4,2,1,5,1,2,green
34231165581705468,3,3,2,3,2,2,color
34743139592302596,4,3,2,4,1,2,color
36231750586635680,2,2,2,3,1,2,green
36364111024253144,3,3,2,4,2,1,grey
36478771234108210,2,2,2,3,3,2,red
36887629656971410,2,2,2,2,2,1,color
36935340187588280,3,2,2,3,2,2,green
37510331506961256,4,3,3,4,2,3,red
37608252006292270,5,2,2,4,2,2,grey
381486622248794.5,3,2,2,4,2,2,green
38577065679367520,4,2,1,3,1,2,red
3881103236194128,2,2,2,2,2,2,green
39668007986620070,NA,5,NA,4,2,NA,red
39787748911264200,4,3,2,4,1,2,grey
40285737217169440,4,3,3,4,3,3,color
40373670390248420,3,3,1,4,1,2,green
40850083203986290,4,3,3,4,2,3,green
40860426115899240,4,3,2,4,2,3,color
40998568946256150,4,2,2,4,1,2,color
41312180868420810,2,1,1,1,1,1,green
41460479809003690,5,3,2,4,2,3,green
41606229480437840,3,2,2,3,2,2,grey
4196671393628426,4,2,2,3,1,1,green
42383111361414190,4,2,2,3,2,3,color
42391908782429064,4,3,2,5,2,3,color
43019742602929660,3,2,1,4,2,1,green
43151829938421330,3,1,2,4,1,1,red
43273324588486184,4,3,2,3,2,2,red
43316385168991170,2,1,2,5,2,3,green
43611763272135270,3,2,1,4,2,1,grey
43955548998797830,4,2,2,4,1,1,color
44568210329054100,4,2,3,3,2,2,green
45236531179398296,4,3,2,3,2,3,green
45992222405038776,4,2,1,5,1,2,color
46329363515747120,4,2,2,4,2,2,red
4668976648079104,4,2,2,4,2,3,red
48028961266276800,2,2,2,3,1,2,grey
48110363340871090,4,2,3,5,1,1,red
4852553588784891,3,2,3,5,4,2,grey
48847041456703350,5,2,3,5,3,1,color
49001494105503980,4,2,2,3,2,2,color
49076458750409020,4,3,3,4,3,2,grey
49083205169651210,4,3,3,5,2,2,red
49177596785929880,3,1,2,5,1,2,green
49391472782008350,2,3,2,3,2,3,green
49513502585135580,3,5,3,5,4,4,red
49726025470189140,4,3,3,3,2,4,grey
50724607036684220,3,2,2,3,1,2,green
50901259939751270,4,2,3,5,2,3,color
51067143434825370,4,3,2,3,3,2,red
51218849616544216,4,1,3,2,2,1,green
51637567588261340,3,3,4,3,2,3,red
51807913135015496,3,2,2,3,1,2,red
51867490847564056,4,2,2,2,2,2,grey
52140381108209550,4,2,2,3,1,1,green
54307408243890490,3,1,2,2,1,1,color
54411098262120810,4,1,2,3,1,1,color
5449201196428421,4,3,3,3,2,3,green
55004250935288310,2,1,1,4,1,2,red
55484622775307770,4,3,2,3,2,3,color
55493971926155304,3,2,1,5,1,2,red
55781672150761550,3,2,3,4,2,1,grey
55850335418648300,3,2,3,2,2,1,color
55963579384078720,3,2,2,3,1,2,red
56223790317977690,4,2,3,4,2,2,grey
56448349009824696,3,2,2,2,1,1,red
56809930004335580,3,2,1,4,2,1,green
5713105657591799,3,2,1,2,1,2,grey
57259765802882610,4,2,2,4,2,1,green
5887653323593089,3,2,2,5,1,1,color
60038509172706104,4,2,2,3,1,1,green
6024392570485104,2,3,2,3,2,2,green
60792483264416400,2,2,2,3,2,2,color
61281112265133490,4,2,2,3,1,2,grey
61432406725002520,3,2,2,2,2,2,red
61613408614690860,1,2,3,4,2,3,color
61701699928380550,4,3,4,5,3,5,grey
63310204412993950,3,2,2,3,2,1,grey
63875592160250760,1,1,1,4,1,1,grey
64361610225700700,4,3,3,3,2,3,green
65098046660339450,3,3,2,3,2,2,red
6623857996697535,3,3,1,4,1,2,green
66701037972604450,4,2,3,5,1,2,red
66869214923566104,2,2,2,3,1,2,red
67045595710422230,4,3,3,3,2,4,red
67194435906293656,3,1,3,4,2,2,color
67233516946876340,2,1,2,4,2,2,green
67731840426882050,3,2,2,3,1,1,green
67955066585590630,3,2,2,3,2,2,green
68088265042752024,2,4,2,1,4,4,grey
68264460435612360,4,2,2,2,2,2,color
68322990164083060,5,2,2,3,1,2,grey
68434163401742090,3,2,3,4,3,2,red
68601347506046296,2,2,1,2,1,1,green
68878302170348310,4,2,1,5,1,1,red
69070243603661450,2,3,3,4,3,2,green
69572917868881360,2,2,3,2,1,1,green
699711076389464.2,3,2,3,2,1,2,red
69986789320343770,4,3,2,2,2,3,red
70147995783458250,3,2,1,3,1,1,green
70381829528339020,4,2,2,4,2,3,color
70514481512965040,3,3,2,3,2,2,color
70712828646304300,3,2,2,2,2,2,color
