name,links,description,joinedAngel
One Concern,https://angel.co/company/one-concern,A benevolent AI company that provides trusted insights to emergency responders,Aug 2015
Guardian Circle,https://angel.co/company/guardian-circle,"Personal Safety Network. A way for friends, family and neighbors to protect each other.",Apr 2016
AlertMedia,https://angel.co/company/alert-media,Reinventing enterprise mass communications and monitoring,Dec 2013
FireStop,https://angel.co/company/firestop,Fighting fires with mobile software + data analytics,Jun 2014
Rorus,https://angel.co/company/rorus,Rorus makes inexpensive point-of-use water filters for emergency relief.,Jul 2015
RISE,https://angel.co/company/rise-refugee-and-immigrant-services,Accelerating aid for refugees worldwide,Jul 2017
Rescue.io,https://angel.co/company/rescue-io,911 Chatbot for Emergencies,Apr 2017
Hydration,https://angel.co/company/hydration-1,Resilient and sustainable hydration,Dec 2014
911ResQ,https://angel.co/company/911resq,Emergency Mobile Application,Jul 2015
Responcer,https://angel.co/company/responcer,Responcer is Uber/Instagram for Emergency services.,Mar 2015
Echo Response Technologies,https://angel.co/company/echo-response-technologies,Tactical tools for emergency first responders,Nov 2015
NGEMS: Next Generation Emergency System,https://angel.co/company/ngems-next-generation-emergency-system-1,Next Generation Emergency System,Aug 2017
CrossCompute,https://angel.co/company/crosscompute,Economic Freedom for Tool Creators,Apr 2017
Total Science,https://angel.co/company/total-science,Small sample anaysis device,Apr 2017
GeoSafe,https://angel.co/company/geosafe,"An easy-to-use first responder tool for iPhone, iPad, and PC",Apr 2015
Delta Signals,https://angel.co/company/delta-signals,Structure monitoring after a major event.,Jun 2016
Avian Robotics,https://angel.co/company/avian-robotics,"Web connected drones, Turning Toys to Tools.",May 2015
ColterDurham,https://angel.co/company/colterdurham,Multi-tasking hand cart,Jun 2015
RallyEngine,https://angel.co/company/rallyengine,Ready. Rally. Resiliency.,Oct 2014
D4H Technologies,https://angel.co/company/d4h-technologies,Right Information When Things Go Wrong,Oct 2014
CallrSight,https://angel.co/company/callrtech,"Emergency response, protection and intelligence utility",Aug 2014
Over9000,https://angel.co/company/over9000-1,Sensing technology for disaster management and catastrophic insurance,Jun 2016
Alpha Sentinel,https://angel.co/company/alpha-sentinel,Designing and Developing Hardware and Software that Saves Lives,Feb 2016
Flood Resolutions,https://angel.co/company/flood-resolutions,Flood Defense Systems,Apr 2017
The Red (Team) Analysis Society,https://angel.co/company/the-red-team-analysis-society,Entrust us with your political and geopolitical uncertainty,May 2014
Castpoints,https://angel.co/company/castpoints-1,Collaborative Universal Commerce,Jan 2015
Smart 112 Mobile,https://angel.co/company/smart-112-mobile,emergency video call,Jul 2015
AidGear,https://angel.co/company/aidgear,Portable water purification for disaster responders,Mar 2016
Kalisaya,https://angel.co/company/kalisaya-1,"We change the way people use energy - turning consumers to smart, green, energy users.",Sep 2016
Pingmergency,https://angel.co/company/pingmergency,InSite for Emergency services,Feb 2015
Xcursion,https://angel.co/company/xcursion,Secure Mobile School Excursion Management,Apr 2016
Global AlertLink,https://angel.co/company/global-alertlink,Enterprise Crisis/Emergency Management Solution,May 2015
Adventech Engineering,https://angel.co/company/adventech-engineering,GIS Mapping & Tracking Service for Wildland Firefighting,Oct 2016
Hydrozoa,https://angel.co/company/hydrozoa,We make rain!,Sep 2015
BALTECH,https://angel.co/company/baltech-1,âSurgery: Which would you prefer â you first or the virtual you first?â,Mar 2015
Streamspotter Technology,https://angel.co/company/streamspotter-technology,Social Media Analytics for Emergency Services,Jan 2015
SaveSarah,https://angel.co/company/savesarah,Truly mobile disaster management platform,May 2017
